flow_duration_s,n_packets_eff,flow_packets_s,flow_bytes_s,fwd_packets,bwd_packets,syn_count,ack_count,rst_count,psh_count,flow_iat_mean,fwd_iat_mean,bwd_iat_mean,fwd_header_bytes,bwd_header_bytes,avg_pkt_size,flow_id,capture_file,family,proba,error
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.115|47062|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.5.151|56477|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.201|50903|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.202|42820|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.203|36957|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.204|44947|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.205|60472|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.206|44890|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.207|33068|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.208|60181|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.209|38048|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.210|41921|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.151|56464|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.152|40996|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.153|36927|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.154|36449|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.155|48783|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,74.0,6|172.16.4.156|51053|192.168.10.11|80,flash traffic_with_r.pcap,flash_traffic,0.00029459947821996606,FN
